StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q15_1,Q3_1,Q6_1,Q7_1,Q8_1,Q9_1,Q18_1,Q19_1,Q_DataPolicyViolations,FL_7_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What gender do you identify with?,How often do you use AI?,How would you rate your knowledge about AI?,How concerned are you about your digital privacy?,How open are you to adopting new technology?,How much do you trust AI with your private information?,How confident are you in your above decision about trusting AI?,How much do you trust AI with your private information now?,How confident are you now in your above decision about trusting AI?,Q_DataPolicyViolations,FL_7 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""Q_DataPolicyViolations""}","{""ImportId"":""FL_7_DO""}"
2024-11-03 17:39:00,2024-11-03 17:39:49,Survey Preview,,100,49,True,2024-11-03 17:39:50,R_8ffmGJxYZSmwcT3,,,,,,,preview,EN,25 - 34,Female,,4,7,5,2,6,6,4,,BL_6XxKA7vGGWEt2iW
2024-11-03 17:47:45,2024-11-03 17:50:19,Survey Preview,,100,154,True,2024-11-03 17:50:19,R_8mtqFtd7m7RTmW7,,,,,,,preview,EN,45 - 54,Male,,3,6,4,5,6,4,7,,BL_cAYGoBSHqi8c526
2024-11-04 09:57:33,2024-11-04 10:00:26,Survey Preview,,100,172,True,2024-11-04 10:00:26,R_8ff6RKIRWCxjtjQ,,,,,,,preview,EN,18 - 24,Male,,8,7,9,5,7,5,8,,BL_6XxKA7vGGWEt2iW
2024-11-06 16:35:56,2024-11-06 16:36:28,Survey Preview,,100,32,True,2024-11-06 16:36:29,R_878snaMnFzY3wrd,,,,,,,preview,EN,35 - 44,Non-Binary,7,4,4,6,4,7,5,5,,Treatment-Negative
2024-11-06 16:50:34,2024-11-06 16:51:58,IP Address,,100,84,True,2024-11-06 16:51:59,R_2pa7iBxbjJIa6id,,,,,,,anonymous,EN,45 - 54,Female,2,4,3,4,1,2,7,5,,Treatment-Neutral
2024-11-06 16:51:00,2024-11-06 16:51:59,IP Address,,100,58,True,2024-11-06 16:51:59,R_8QJnP7ywS1mnJE5,,,,,,,anonymous,EN,18 - 24,Male,10,8,7,10,7,7,7,6,,Treatment-Neutral
2024-11-06 16:53:08,2024-11-06 16:54:43,IP Address,,100,95,True,2024-11-06 16:54:44,R_8MDMSVDYM4dOvGF,,,,,,,anonymous,EN,55 - 64,Male,4,4,7,7,5,6,6,5,,Treatment-Negative
2024-11-06 16:55:00,2024-11-06 16:56:55,IP Address,,100,115,True,2024-11-06 16:56:56,R_2QR4poFCsnO1e9l,,,,,,,anonymous,EN,18 - 24,Male,8,7,6,9,4,4,6,6,,Treatment-Positive
