"Age","Gender","AI_Usage_Frequency","AI_Knowledge_Rating","Digital_Privacy_Concern","Tech_Adoption_Openess","Trust_AI_Privacy_Pre","Decision_Confidence_Pre","Trust_AI_Privacy_Post","Decision_Confidence_Post","Treatment_Randomizer","pre_trust_segment","pre_confidence_segment","Trust_Change","Confidence_Change"
"35 - 44","Non-Binary",7,4,4,6,4,7,5,5,"Treatment-Negative","medium","high",1,-2
"45 - 54","Female",2,4,3,4,1,2,7,5,"Treatment-Neutral","low","low",6,3
"18 - 24","Male",10,8,7,10,7,7,7,6,"Treatment-Neutral","high","high",0,-1
"55 - 64","Male",4,4,7,7,5,6,6,5,"Treatment-Negative","medium","medium",1,-1
"18 - 24","Male",8,7,6,9,4,4,6,6,"Treatment-Positive","medium","medium",2,2
"18 - 24","Male",6,2,1,9,3,3,3,3,"Treatment-Negative","low","low",0,0
"18 - 24","Male",5,5,5,8,4,6,5,6,"Treatment-Neutral","medium","medium",1,0
"25 - 34","Female",7,7,5,8,5,4,5,4,"Treatment-Positive","medium","medium",0,0
"18 - 24","Male",10,7,5,10,6,9,7,10,"Treatment-Negative","medium","high",1,1
"18 - 24","Male",10,9,9,8,3,8,2,8,"Treatment-Neutral","low","high",-1,0
"18 - 24","Female",10,2,1,6,6,2,1,1,"Treatment-Positive","medium","low",-5,-1
"18 - 24","Female",7,2,6,6,1,7,0,10,"Treatment-Negative","low","high",-1,3
"18 - 24","Male",9,7,10,10,5,5,7,6,"Treatment-Positive","medium","medium",2,1
"18 - 24","Female",10,5,6,8,6,7,7,7,"Treatment-Neutral","medium","high",1,0
"18 - 24","Male",10,0,9,10,2,8,2,8,"Treatment-Positive","low","high",0,0
"18 - 24","Male",7,7,9,10,5,6,6,7,"Treatment-Negative","medium","medium",1,1
"45 - 54","Female",3,3,2,6,8,5,9,8,"Treatment-Neutral","high","medium",1,3
"18 - 24","Male",1,3,2,3,3,3,4,4,"Treatment-Positive","low","low",1,1
"18 - 24","Male",10,6,1,10,4,0,2,0,"Treatment-Negative","medium","low",-2,0
"18 - 24","Male",4,4,1,9,2,6,2,9,"Treatment-Negative","low","medium",0,3
"18 - 24","Female",9,6,10,10,4,6,6,6,"Treatment-Neutral","medium","medium",2,0
"18 - 24","Female",8,6,8,9,1,8,6,9,"Treatment-Positive","low","high",5,1
"18 - 24","Female",9,6,10,4,1,9,1,10,"Treatment-Neutral","low","high",0,1
"18 - 24","Male",8,8,7,9,7,7,7,8,"Treatment-Positive","high","high",0,1
"18 - 24","Male",10,2,5,7,2,7,5,4,"Treatment-Neutral","low","high",3,-3
"18 - 24","Male",8,6,6,9,8,8,7,7,"Treatment-Negative","high","high",-1,-1
"18 - 24","Male",10,7,5,9,5,10,7,10,"Treatment-Positive","medium","high",2,0
"18 - 24","Male",7,6,4,7,4,3,5,4,"Treatment-Positive","medium","low",1,1
"25 - 34","Other",4,3,4,5,8,8,4,8,"Treatment-Neutral","high","high",-4,0
"35 - 44","Male",7,6,7,7,4,4,7,6,"Treatment-Negative","medium","medium",3,2
"18 - 24","Female",7,6,7,5,4,5,5,7,"Treatment-Positive","medium","medium",1,2
"18 - 24","Male",6,7,8,8,7,5,6,8,"Treatment-Neutral","high","medium",-1,3
"25 - 34","Male",9,4,2,7,5,5,5,5,"Treatment-Negative","medium","medium",0,0
"25 - 34","Female",0,0,1,1,0,0,1,1,"Treatment-Neutral","low","low",1,1
"18 - 24","Male",10,10,3,10,8,10,8,8,"Treatment-Negative","high","high",0,-2
"Under 18","Male",10,7,5,10,4,7,3,5,"Treatment-Positive","medium","high",-1,-2
"18 - 24","Female",8,7,4,9,1,6,5,6,"Treatment-Neutral","low","medium",4,0
"Over 65","Non-Binary",10,10,10,10,5,10,5,10,"Treatment-Negative","medium","high",0,0
"25 - 34","Male",10,4,2,10,2,10,2,10,"Treatment-Positive","low","high",0,0
"18 - 24","Male",4,8,7,8,5,7,6,6,"Treatment-Neutral","medium","high",1,-1
"18 - 24","Male",8,6,1,10,0,5,6,6,"Treatment-Positive","low","medium",6,1
"18 - 24","Female",7,3,5,6,4,8,6,6,"Treatment-Neutral","medium","high",2,-2
"18 - 24","Female",8,7,6,9,3,2,3,3,"Treatment-Negative","low","low",0,1
"18 - 24","Male",9,9,6,8,6,4,6,7,"Treatment-Positive","medium","medium",0,3
