game name;start time;stage;finish time;Theory 1 - Causal Links;Theory 1 - Probabilities;Theory 1 - Omega & Alternative Expected Value;Theory 1 - Expected Probability;Theory 1 - #used attributes;Theory 1 - # links;Theory 2 - Causal Links;Theory 2 - Probabilities;Theory 2 - Omega & Alternative Expected Value;Theory 2 - Expected Probability;Theory 2 - #used attributes;Theory 2 - # links;experiments json;Theory 1 real world draw;Theory 2 real world draw;final exp draw;final exp;player decision;result (1 = won)
Southwest Airlines;03.09.2024 18:15;4;03.09.2024 18:24;[];[[0]];[0.26,0.76];0;0;0;[];[[0]];[0.59,0.53];0;0;0;"[{""exp"":""second"",""exp_draw"":0.7890158757618091,""loglink"":[],""probval"":[[0]],""certain"":[0.59,0.53],""expected"":0}]";96;94;79;2;1;1
Southwest Airlines;07.08.2024 18:31;4;07.08.2024 18:47;"[{""6"":0.2,""5"":0.1}]";"{""0"":[0.05,0.15000000000000002,0.25,0.35000000000000003],""5"":[0.5],""6"":[0.5]}";[0.76,0.48];0.2;3;2;"[{""5"":0.3}]";"{""0"":[0.1,0.4],""5"":[0.5]}";[0.6900000000000001,0.4];0.25;2;1;"[{""exp"":""first"",""exp_draw"":0.2869968084817238,""loglink"":[{""6"":0.2,""5"":0.12}],""probval"":{""0"":[0.05,0.16999999999999998,0.25,0.37],""5"":[0.5],""6"":[0.5]},""certain"":[0.76,0.48],""expected"":0.21000000000000002}]";90;98;29;1;2;1
Southwest Airlines;16.06.2024 18:58;4;16.06.2024 19:00;[];[[0]];[0.5,0.59];0;0;0;[];[[0]];[0.55,0.64];0;0;0;"[{""exp"":""first"",""exp_draw"":0.6336224793935744,""loglink"":[],""probval"":[[0]],""certain"":[0.59,0.64],""expected"":0},{""exp"":""second"",""exp_draw"":0.9175265170028574,""loglink"":[],""probval"":[[0]],""certain"":[0.41000000000000003,0.35000000000000003],""expected"":0}]";83;93;92;2;1;0
Southwest Airlines;04.05.2024 9:18;4;04.05.2024 9:47;"{""4"":{""5"":0.2},""6"":{""5"":0.4,""7"":0.4},""7"":{""4"":0.2},""0"":{""6"":0.7000000000000001}}";"{""0"":[0.3,1],""4"":[0.4,0.6000000000000001],""5"":[0.2],""6"":[0.2,0.6000000000000001,0.6000000000000001,1],""7"":[0.4,0.6000000000000001]}";[0.5,0.2];0.6326400000000001;5;5;"[{""5"":0.005}]";"{""0"":[0.5,0.505],""5"":[0.006999999999999999]}";[0.5,0.37];0.500035;2;1;"[{""exp"":""first"",""exp_draw"":0.796710276981041,""loglink"":{""4"":{""5"":0.2},""6"":{""5"":0.4,""7"":0.4},""7"":{""4"":0.2},""0"":{""6"":0.7000000000000001}},""probval"":{""0"":[0.3,1],""4"":[0.4,0.6000000000000001],""5"":[0.2],""6"":[0.2,0.6000000000000001,0.6000000000000001,1],""7"":[0.4,0.6000000000000001]},""certain"":[0.87,0.08],""expected"":0.6326400000000001}]";95;93;80;1;1;1
Southwest Airlines;03.12.2023 21:07;4;03.12.2023 21:13;"[{""1"":0.05,""3"":0.05,""4"":0.05,""7"":0.05,""6"":0.05,""2"":0.05,""5"":0.05}]";[[0.55,0.6000000000000001,0.6000000000000001,0.6500000000000001,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7500000000000002,0.8000000000000003,0.8000000000000003,0.8500000000000003,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7500000000000002,0.8000000000000003,0.8000000000000003,0.8500000000000003,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.7500000000000002,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7500000000000002,0.8000000000000003,0.8000000000000003,0.8500000000000003,0.7000000000000002,0.7500000000000002,0.7500000000000002,0.8000000000000003,0.7500000000000002,0.8000000000000003,0.8000000000000003,0.8500000000000003,0.7500000000000002,0.8000000000000003,0.8000000000000003,0.8500000000000003,0.8000000000000003,0.8500000000000003,0.8500000000000003,0.9000000000000004],[0.05],[0.05],[0.05],[0.05],[0.05],[0.05],[0.05]];[0.79,0.6];0.5674999999999999;8;7;"[{""1"":0.05,""2"":0.05,""3"":0.05,""4"":0.05,""5"":0.05}]";[[0.05,0.1,0.1,0.15000000000000002,0.1,0.15000000000000002,0.15000000000000002,0.2,0.1,0.15000000000000002,0.15000000000000002,0.2,0.15000000000000002,0.2,0.2,0.25,0.1,0.15000000000000002,0.15000000000000002,0.2,0.15000000000000002,0.2,0.2,0.25,0.15000000000000002,0.2,0.2,0.25,0.2,0.25,0.25,0.3],[0.1],[0.1],[0.1],[0.1],[0.1]];[0.72,0.81];0.07500000000000001;6;5;"[{""exp"":""second"",""exp_draw"":0.9591717609310079,""loglink"":[{""1"":0.05,""2"":0.05,""3"":0.05,""4"":0.05,""5"":0.05}],""probval"":[[0.7000000000000001,0.7500000000000001,0.7500000000000001,0.8000000000000002,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.8500000000000002,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.8500000000000002,0.8000000000000002,0.8500000000000002,0.8500000000000002,0.9000000000000002,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.8500000000000002,0.8000000000000002,0.8500000000000002,0.8500000000000002,0.9000000000000002,0.8000000000000002,0.8500000000000002,0.8500000000000002,0.9000000000000002,0.8500000000000002,0.9000000000000002,0.9000000000000002,0.9500000000000003],[0.1],[0.1],[0.1],[0.1],[0.1]],""certain"":[0.93,0.81],""expected"":0.7250000000000004}]";88;94;96;2;2;1
Southwest Airlines;12.11.2023 13:43;4;12.11.2023 14:04;"[{""1"":0.05,""2"":0.05,""3"":0.3,""4"":0.02,""5"":0.05,""6"":0.05,""7"":0.02}]";[[0.2,0.25,0.25,0.3,0.5,0.55,0.55,0.6,0.22,0.27,0.27,0.32,0.52,0.5700000000000001,0.5700000000000001,0.62,0.25,0.3,0.3,0.35,0.55,0.6000000000000001,0.6000000000000001,0.65,0.27,0.32,0.32,0.37,0.5700000000000001,0.6200000000000001,0.6200000000000001,0.67,0.25,0.3,0.3,0.35,0.55,0.6000000000000001,0.6000000000000001,0.65,0.27,0.32,0.32,0.37,0.5700000000000001,0.6200000000000001,0.6200000000000001,0.67,0.3,0.35,0.35,0.39999999999999997,0.6000000000000001,0.6500000000000001,0.6500000000000001,0.7000000000000001,0.32,0.37,0.37,0.42,0.6200000000000001,0.6700000000000002,0.6700000000000002,0.7200000000000001,0.22,0.27,0.27,0.32,0.52,0.5700000000000001,0.5700000000000001,0.62,0.24,0.29000000000000004,0.29000000000000004,0.34,0.54,0.5900000000000001,0.5900000000000001,0.64,0.27,0.32,0.32,0.37,0.5700000000000001,0.6200000000000001,0.6200000000000001,0.67,0.29000000000000004,0.34,0.34,0.39,0.5900000000000001,0.6400000000000001,0.6400000000000001,0.6900000000000001,0.27,0.32,0.32,0.37,0.5700000000000001,0.6200000000000001,0.6200000000000001,0.67,0.29000000000000004,0.34,0.34,0.39,0.5900000000000001,0.6400000000000001,0.6400000000000001,0.6900000000000001,0.32,0.37,0.37,0.42,0.6200000000000001,0.6700000000000002,0.6700000000000002,0.7200000000000001,0.34,0.39,0.39,0.44,0.6400000000000001,0.6900000000000002,0.6900000000000002,0.7400000000000001],[0.02],[0.05],[0.12],[0.21],[0.1],[0.05],[0.05]];[0.8,0.31];0.2521999999999999;8;7;"[{""1"":0.02,""2"":0.02,""3"":0.04,""4"":0.03,""5"":0.1}]";[[0.01,0.03,0.03,0.05,0.05,0.07,0.07,0.09,0.04,0.06,0.06,0.08,0.08,0.1,0.1,0.12,0.11,0.13,0.13,0.15000000000000002,0.15000000000000002,0.17,0.17,0.19,0.14,0.16,0.16,0.18,0.18,0.2,0.2,0.22],[0.03],[0.02],[0.1],[0.15],[0.05]];[0.92,0.03];0.0245;6;5;"[{""exp"":""second"",""exp_draw"":0.9403527618120087,""loglink"":[{""1"":0.02,""2"":0.02,""3"":0.04,""4"":0.03,""5"":0.1}],""probval"":[[0.01,0.03,0.03,0.05,0.05,0.07,0.07,0.09,0.04,0.06,0.06,0.08,0.08,0.1,0.1,0.12,0.11,0.13,0.13,0.15000000000000002,0.15000000000000002,0.17,0.17,0.19,0.14,0.16,0.16,0.18,0.18,0.2,0.2,0.22],[0.2],[0.2],[0.3],[0.35000000000000003],[0.54]],""certain"":[0.92,0.03],""expected"":0.09450000000000003}]";86;91;94;2;1;0
Southwest Airlines;01.11.2023 13:44;4;01.11.2023 14:04;"{""5"":{""7"":0.1},""3"":{""5"":0.1},""1"":{""3"":0.8},""0"":{""1"":0.4,""2"":0.4,""6"":0.15},""4"":{""3"":-0.4},""2"":{""4"":0.8}}";[[0.01,0.41000000000000003,0.41000000000000003,0.81,0.16,0.56,0.56,0.9600000000000001],[0.01,0.81],[0,0.8],[0.2,0.30000000000000004],[0.5,0.09999999999999998],[0.2,0.30000000000000004],[0.4],[0.8]];[0.89,0.63];0.2777760000000001;8;8;"{""0"":{""4"":0.05,""1"":0.4,""3"":0.2},""3"":{""5"":0.89},""2"":{""5"":0.7000000000000001},""1"":{""2"":0.7000000000000001}}";[[0.01,0.41000000000000003,0.21000000000000002,0.6100000000000001,0.060000000000000005,0.46,0.26,0.6600000000000001],[0.05,0.7500000000000001],[0.15,0.8500000000000001],[0.1,0.99],[0.2],[0.5]];[0.27,0.9];0.2890000000000001;6;6;"[{""exp"":""first"",""exp_draw"":0.8104474776105187,""loglink"":{""5"":{""7"":0.1},""3"":{""5"":0.1},""1"":{""3"":0.8},""0"":{""1"":0.4,""2"":0.4,""6"":0.15},""4"":{""3"":-0.25},""2"":{""4"":0.8}},""probval"":[[0.01,0.41000000000000003,0.41000000000000003,0.81,0.16,0.56,0.56,0.9600000000000001],[0.01,0.81],[0,0.8],[0.6,0.7],[0.5,0.25],[0.2,0.30000000000000004],[0.4],[0.8]],""certain"":[0.92,0.7000000000000001],""expected"":0.38472000000000006}]";91;93;81;1;2;1
Meta;03.10.2024 9:06;4;03.10.2024 9:47;"{""1"":{""2"":0.4,""5"":0.3},""0"":{""1"":0.6,""3"":0.25,""4"":0.1}}";[[0.05,0.65,0.3,0.9,0.15000000000000002,0.75,0.4,1],[0.3,0.7,0.6,1],[0.9],[0.3],[0.6],[0.8]];[0.3,0.7000000000000001];0.725;6;5;"{""0"":{""2"":0.4,""3"":0.55},""3"":{""1"":0.25,""2"":0.15}}";[[0.05,0.45,0.6000000000000001,1],[0.8],[0.6],[0.2,0.45,0.35,0.6]];[0.15,0.3];0.5594999999999999;4;4;"[{""exp"":""second"",""exp_draw"":0.8716032268197622,""loglink"":{""0"":{""2"":0.4,""3"":0.55},""3"":{""1"":0.25,""2"":0.15}},""probval"":[[0.05,0.45,0.6000000000000001,1],[1],[0.85],[0.3,0.55,0.44999999999999996,0.7000000000000001]],""certain"":[0.25,0.67],""expected"":0.7626250000000001},{""exp"":""second"",""exp_draw"":0.8395543869267322,""loglink"":{""0"":{""2"":0.4,""3"":0.55},""3"":{""1"":0.25,""2"":0.15}},""probval"":[[0.05,0.45,0.6000000000000001,1],[1],[0.85],[0.3,0.55,0.44999999999999996,0.7000000000000001]],""certain"":[0.25,0.67],""expected"":0.7626250000000001}]";78;92;84;2;2;1
Meta;03.10.2024 8:50;4;03.10.2024 10:24;"[{""3"":0.07,""1"":0.15,""4"":0.03},{""2"":0.15,""3"":0.15,""5"":0.1},{""5"":0.15},{""2"":0.05,""4"":0.15}]";[[0.05,0.2,0.12000000000000001,0.27,0.08,0.23,0.15000000000000002,0.30000000000000004],[0.1,0.25,0.25,0.4,0.2,0.35,0.35,0.5],[0.6,0.75],[0.7000000000000001,0.7500000000000001,0.8500000000000001,0.9000000000000001],[0.75],[0.55]];[0.6,0.35000000000000003];0.1894190625;6;9;"{""0"":{""2"":0.2,""3"":0.4,""1"":0.2},""3"":{""1"":0.1,""2"":0.1}}";[[0.05,0.25,0.25,0.45,0.45,0.65,0.65,0.8500000000000001],[0.9],[0.9],[0.1,0.2,0.2,0.30000000000000004]];[0.3,0.4];0.5220000000000001;4;5;"[{""exp"":""first"",""exp_draw"":0.8228855915217682,""loglink"":[{""3"":0.07,""1"":0.2,""4"":0.03},{""2"":0.15,""3"":0.15,""5"":0.1},{""5"":0.15},{""2"":0.05,""4"":0.15}],""probval"":[[0.05,0.25,0.12000000000000001,0.32,0.08,0.28,0.15000000000000002,0.35],[0.2,0.35,0.35,0.5,0.30000000000000004,0.44999999999999996,0.44999999999999996,0.6],[0.6,0.75],[0.8,0.8500000000000001,0.9500000000000001,1],[0.75],[0.55]],""certain"":[0.6,0.2],""expected"":0.2386375}]";48;89;82;1;2;1
Meta;03.10.2024 8:48;4;03.10.2024 10:21;"{""1"":{""3"":0.0015,""2"":0.0015,""5"":0.001},""3"":{""2"":0.0005,""4"":0.0015},""2"":{""5"":0.0015},""0"":{""4"":0.0003,""1"":0.0015,""3"":0.0007000000000000001}}";[[0.05,0.051500000000000004,0.0507,0.0522,0.050300000000000004,0.051800000000000006,0.051000000000000004,0.052500000000000005],[0.1,0.1015,0.1015,0.10300000000000001,0.101,0.10250000000000001,0.10250000000000001,0.10400000000000001],[0.6,0.6014999999999999],[0.7000000000000001,0.7005,0.7015,0.702],[0.75],[0.65]];[0.6,0.35000000000000003];0.05086990324234688;6;9;"{""0"":{""2"":0.2,""3"":0.4,""1"":0.15},""3"":{""2"":0.1,""1"":0.1}}";[[0.05,0.2,0.25,0.4,0.45,0.6000000000000001,0.65,0.8],[0.9],[0.9],[0.1,0.2,0.2,0.30000000000000004]];[0.3,0.4];0.47700000000000015;4;5;"[{""exp"":""second"",""exp_draw"":0.8889647200995596,""loglink"":{""0"":{""2"":0.2,""3"":0.5,""1"":0.15},""3"":{""2"":0.1,""1"":0.2}},""probval"":[[0.05,0.2,0.25,0.4,0.55,0.7,0.75,0.9],[0.9],[0.9],[0.1,0.30000000000000004,0.2,0.4]],""certain"":[0.4,0.5],""expected"":0.55}]";74;87;89;2;2;1
